Aberdeen 1st - Men's,@AUPositiveMojo,1,7128
Anglia Ruskin 1st (Cambridge) - Men's,@ARUUltimate,1,7129
Bangor 1st - Men's,@BangorUltimate,1,7130
Bath 1st - Men's,@UOBathUltimate,1,7131
Bath 2nd - Men's,@UOBathUltimate,2,7683
Birmingham 1st - Men's,@unibhamultmate,1,7132
Birmingham 2nd - Men's,@unibhamultmate,2,7133
Bournemouth 1st - Men's,@BournemouthHeat,1,7134
Brighton 1st - Men's,@PanthersFrisbee,1,7135
Bristol 1st - Men's,@TheMythagoBeast,1,7136
Bristol 2nd - Men's,@TheMythagoBeast,2,7684
Brunel 1st - Men's,@BrunelUltimate,1,7137
Cambridge 1st - Men's,@strangeblueulti,1,7138
Cardiff 1st - Men's,@CardiffNoFrills,1,7140
Cardiff 2nd - Men's,@CardiffNoFrills,2,7141
Chichester 1st - Men's,@ChiamiCobras,1,7143
Coventry 1st - Men's,@CovUniUltimate,1,7144
Derby 1st - Men's,Derby,1,7685
Dundee 1st - Men's,@DundeeUltimate,1,7145
Durham 1st - Men's,@dufclub,1,7146
Durham 2nd - Men's,@dufclub,2,7147
Durham 3rd - Men's,@dufclub,3,7686
East Anglia 1st - Men's,@AyeAyeUltimate,1,7148
Edinburgh 1st - Men's,@RoShamUltimate,1,7149
Essex 1st - Men's,@EssexUltimate,1,7150
Exeter 1st - Men's,@exeterultimate,1,7151
Exeter 2nd - Men's,@exeterultimate,2,7687
FXU 1st - Men's,@KernowUltimate,1,7297
Glasgow 1st - Men's,@GUSAUltimate,1,7153
Goldsmiths 1st - Men's,Goldsmiths,1,7154
Heriot-Watt 1st - Men's,@HWUltimate,1,7155
Hertfordshire 1st - Men's,@UHAU_UF,1,7156
Huddersfield 1st - Men's,@HuddUF,1,7157
Hull 1st - Men's,@HUUFC,1,7158
Imperial 1st - Men's,@ICDiscDoctors,1,7159
Keele 1st - Men's,@KeeleUltimate,1,7689
Kent 1st - Men's,@kenttouchthis,1,7160
King's College 1st - Men's,@ThrownUltimate,1,7161
Lancaster 1st - Men's,@TheFish_Lancs,1,7162
Leeds 1st - Men's,@ULeedsUltimate,1,7163
Leicester 1st - Men's,@UltimateJesters,1,7164
Leicester 2nd - Men's,@UltimateJesters,2,7165
Lincoln 1st - Men's,@UoLultimate,1,7167
Liverpool 1st - Men's,@LpoolUltimate,1,7166
Loughborough 1st - Men's,@LSUltimate,1,7168
Loughborough 2nd - Men's,@LSUltimate,2,7169
Loughborough 3rd - Men's,@LSUltimate,3,7690
LSE 1st - Men's,@LSESUUltimate,1,7170
Manchester 1st - Men's,@umultimate,1,7171
Newcastle 1st - Men's,@Newcastle_Pies,1,7172
Newcastle 2nd - Men's,@Newcastle_Pies,1,7691
Northumbria 1st - Men's,Northumbria,1,7174
Nottingham 1st - Men's,@UONUltimate,1,7175
Nottingham 2nd - Men's,@UONUltimate,2,7176
Nottingham 3rd - Men's,@UONUltimate,3,7177
Nottingham Trent 1st - Men's,@NTUUltimate,1,7178
Oxford 1st - Men's,@OxUniUltimate,1,7179
Oxford Brookes 1st - Men's,@BrookesUltimate,1,7180
Plymouth 1st - Men's,@PicnicUltimate,1,7181
Plymouth 2nd - Men's,@PicnicUltimate,1,7182
Portsmouth 1st - Men's,@SublimeUoP,1,7183
Portsmouth 2nd - Men's,@SublimeUoP,2,7184
Reading 1st - Men's,@RKUltimate,1,7185
Sheffield 1st - Men's,@UoSheffUltimate,1,7187
Sheffield 2nd - Men's,@UoSheffUltimate,2,7188
Sheffield Hallam 1st - Men's,@HallamUltimate,1,7189
Southampton 1st - Men's,@skunksultimate,1,7190
Southampton 2nd - Men's,@skunksultimate,2,7191
St Andrews 1st - Men's,@StsUltimate,1,7192
St Andrews 2nd - Men's,@StsUltimate,2,7193
St Mary's 1st - Men's,@stmarysultimate,1,7194
Staffordshire 1st - Men's,@StaffsUltimate,1,7195
Stirling 1st - Men's,@StirlingBlaze,1,7197
Strathclyde 1st - Men's,@StrathUltimate,1,7196
Sunderland 1st - Men's,Sunderland,1,7198
Surrey 1st - Men's,@UoSUltimate,1,7200
Surrey 2nd - Men's,@UoSUltimate,2,7201
Sussex 1st - Men's,@MohawksUltimate,1,7202
Sussex 2nd - Men's,@MohawksUltimate,2,7203
Swansea 1st - Men's,@SwanseaUltimate,1,7204
Swansea 2nd - Men's,@SwanseaUltimate,2,7205
Teesside 1st - Men's,Teeside,1,7694
UCL 1st - Men's,@UCLUUltimate,1,7206
UCL 2nd - Men's,@UCLUUltimate,2,7207
UCLAN 1st - Men's,@UCLan_Spinners,1,7139
UWE 1st - Men's,@uwe_ultimate,1,7208
Warwick 1st - Men's,@WarwickUltimate,1,7209
Warwick 2nd - Men's,@WarwickUltimate,2,7210
Winchester 1st - Men's,@FlyHardUltimate,1,7211
Worcester 1st - Men's,@worc_ultimate,1,7212
York 1st - Men's,@YorkUniUltimate,1,7213
York St John 1st - Men's,York St John,1,7214
York St John 2nd - Men's,York St John,2,7695
Royal Holloway 1st - Men's,@holloway_HU,1,7186
Chester 1st - Men's,None,1,7142
UNSW 1st - Men's,None,1,7152
Northampton 1st - Men's,None,1,7173
Sunderland 2nd - Men's,None,2,7199
